day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Monday,Night,arief rate,ujung pandang,TK,adolescent,PR,R2,-5.14495,119.4125725,0
Monday,Night,tamalate 1,rappocini,TL,NOV,NOV,R2,-5.1675882,119.4479146,10
Monday,Morning,karunrung,ujung pandang,TK,adult,LK,R2,-5.1448851,119.4127054,8
Tuesday,Morning,ratulangi,mamajang,TK,adult,LK,R2,-5.1520498,119.4160523,8
Monday,Night,malengkeri,tamalate,TK,adolescent,LK,R2,-5.1875239,119.4339559,11
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R4,-5.1257155,119.5040112,7
Sunday,Morning,mappaodang,tamalate,TK,adult,LK,R2,-5.1732205,119.4158686,8
Wednesday,Morning,batua raya,panakukang,TK,adolescent,LK,R2,-5.1607593000000005,119.45961721209224,5
Tuesday,Morning,racing center,panakukang,TK,child,LK,R2,-5.146478,119.4475021085729,1
Wednesday,Morning,galangan kapal,tallo,TK,adult,LK,R2,-5.1116901,119.4310929,8
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112,1
Friday,Morning,andi tonro,tamalate,TM,adolescent,LK,R2,-5.1722153,119.4194737,1
Wednesday,Morning,dangko,tamalate,TL,NOV,NOV,R2,-5.1819016,119.4145136,4
Tuesday,Night,rajawali,mariso,TL,NOV,NOV,R4,-5.1487498,119.4096122,2
Tuesday,Night,talasalapang,rappocini,TK,adolescent,LK,R2,-5.1809955,119.4464572,11
Sunday,Night,gunung latimojong,bontoala,TK,adult,LK,R4,-5.1405404,119.4208275,3
Sunday,Night,andi tonro,tamalate,TK,adolescent,LK,R2,-5.1722153,119.4194737,11
Friday,Morning,perintis kemerdekaan,biringkanaya,TM,adolescent,LK,R2,-5.0934582,119.5134093,1
Saturday,Night,galangan kapal,tallo,T,adolescent,LK,R2,-5.1116901,119.4310929,0
Saturday,Night,emmy saelan,ujung pandang,TK,adolescent,LK,R2,-5.1433667,119.4121606,11
Monday,Morning,sunu,bontoala,TK,adolescent,PR,R2,-5.1321811,119.4269256,1
Sunday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,10
Monday,Morning,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112,5
Monday,Morning,paccerakkang,biringkanaya,TK,adult,PR,R4,-5.1130349,119.5128407,3
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R6,-5.1257155,119.5040112,1
