day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112
Friday,Morning,sungai saddang,makassar,TK,adolescent,PR,R2,-5.1468498,119.4249901
Sunday,Afternoon,tamangapa raya,manggala,TK,adolescent,LK,R2,-5.1767373,119.4843844
Wednesday,Afternoon,kumala,tamalate,TL,NOV,NOV,R4,-5.1751691,119.4167077
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112
Wednesday,Night,perintis kemerdekaan,tamalanrea,TK,adult,LK,R4,-5.1257155,119.5040112
Tuesday,Morning,perintis kemerdekaan,biringkanaya,T,adolescent,PR,R2,-5.0876472,119.5188217
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112
Tuesday,Morning,veteran selatan,mamajang,TK,adolescent,LK,R2,-5.1671547,119.419923
Thursday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adolescent,PR,R2,-5.0876472,119.5188217
Saturday,Morning,gunung bawakaraeng,ujung pandang,TL,NOV,NOV,R2,-5.135514,119.4179481
Friday,Evening,muh tahir,tamalate,TK,adult,PR,R2,-5.1755446,119.4173674
Tuesday,Morning,veteran utara,bontoala,TM,adult,LK,R2,-5.1407973,119.4239945
Wednesday,Night,dangko,tamalate,TL,NOV,NOV,R4,-5.1811574,119.4128553
Wednesday,Night,singa,mamajang,T,adult,PR,R2,-5.1582823,119.4168762
Saturday,Morning,tamangapa raya,manggala,TK,adult,LK,R4,-5.1767373,119.4843844
Sunday,Afternoon,m.jufri,tallo,TM,adult,LK,R2,-5.1272807,119.4355564
Monday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Saturday,Night,serigala,mamajang,TL,NOV,NOV,R4,-5.1607129,119.4210329
Monday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adult,LK,R6,-5.0876472,119.5188217
Sunday,Afternoon,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0876472,119.5188217
Tuesday,Night,dg.tata 1,tamalate,TK,adolescent,LK,R2,-5.1793833,119.4244824
Thursday,Afternoon,perintis kemerdekaan,tamalanrea,T,adolescent,LK,R2,-5.1257155,119.5040112
Thursday,Evening,gunung bawakaraeng,ujung pandang,TK,adolescent,PR,R2,-5.135514,119.4179481
Friday,Morning,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0876472,119.5188217
Saturday,Evening,poros perumnas sudiang,biringkanaya,TM,adolescent,LK,R2,-5.1018114,119.5316194
Sunday,Morning,nuri,mariso,T,adolescent,PR,R2,-5.1613624,119.4092236
Friday,Evening,gunung bawakaraeng,makassar,TK,child,PR,R2,-5.1349865,119.425356
Monday,Morning,goa ria,biringkanaya,TK,adult,LK,R4,-5.0810812,119.5253813
Thursday,Afternoon,aroepala,rappocini,TK,adult,LK,R4,-5.1748451,119.4557027
Friday,Evening,bandang,bontoala,TK,adult,PR,R2,-5.1329092,119.4213666
Friday,Morning,perintis kemerdekaan,biringkanaya,T,adult,LK,R2,-5.0876472,119.5188217
